央视频道,#genre#
CCTV-1,http://198.204.228.26/live/cctv1hd.m3u8$订阅源
CCTV-1,http://198.204.240.250:82/live/cctv1.m3u8$订阅源
CCTV-1,http://221.197.236.192:17514/udp/225.1.1.120:5002$联通RTP
CCTV-1,http://101.66.199.29:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-1,http://101.66.199.118:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-1,http://60.10.139.113:8801/hls/1/index.m3u8$订阅源
CCTV-1,http://101.66.199.194:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-2,http://198.204.228.26/live/cctv2hd.m3u8$订阅源
CCTV-2,http://221.197.236.192:17514/udp/225.1.1.133:5002$联通RTP
CCTV-2,http://101.66.199.29:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-2,http://101.66.199.118:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-2,http://60.10.139.113:8801/hls/2/index.m3u8$订阅源
CCTV-2,http://101.66.199.194:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-3,http://198.204.228.26/live/cctv3hd.m3u8$订阅源
CCTV-3,http://221.197.236.192:17514/udp/225.1.1.158:5002$联通RTP
CCTV-3,http://101.66.199.29:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-3,http://101.66.199.118:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-3,http://60.10.139.113:8801/hls/3/index.m3u8$订阅源
CCTV-3,http://101.66.199.194:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-4,http://198.204.228.26/live/cctv4hd.m3u8$订阅源
CCTV-4,http://221.197.236.192:17514/udp/225.1.1.150:5002$联通RTP
CCTV-4,http://60.10.139.113:8801/hls/4/index.m3u8$订阅源
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$订阅源
CCTV-5,http://198.204.228.26/live/cctv5hd.m3u8$订阅源
CCTV-5,http://198.204.228.26/live/cctv5p.m3u8$订阅源
CCTV-5,http://221.197.236.192:17514/udp/225.1.1.160:5002$联通RTP
CCTV-5,http://101.66.199.29:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-5,http://101.66.199.118:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-5,http://60.10.139.113:8801/hls/5/index.m3u8$订阅源
CCTV-5,http://101.66.199.194:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-5+,http://221.197.236.192:17514/udp/225.1.1.121:5002$联通RTP
CCTV-5+,http://60.10.139.113:8801/hls/15/index.m3u8$订阅源
CCTV-6,http://198.204.228.26/live/cctv6hd.m3u8$订阅源
CCTV-6,http://198.204.240.250:82/live/cctv6.m3u8$订阅源
CCTV-6,http://221.197.236.192:17514/udp/225.1.1.195:5002$联通RTP
CCTV-6,http://101.66.199.29:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-6,http://101.66.199.118:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-6,http://60.10.139.113:8801/hls/6/index.m3u8$订阅源
CCTV-6,http://101.66.199.194:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-7,http://198.204.228.26/live/cctv7hd.m3u8$订阅源
CCTV-7,http://221.197.236.192:17514/udp/225.1.1.138:5002$联通RTP
CCTV-7,http://101.66.199.29:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-7,http://101.66.199.118:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-7,http://60.10.139.113:8801/hls/7/index.m3u8$订阅源
CCTV-7,http://101.66.199.194:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-8,http://221.197.236.192:17514/udp/225.1.1.196:5002$联通RTP
CCTV-8,http://101.66.199.29:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-8,http://101.66.199.118:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-8,http://60.10.139.113:8801/hls/8/index.m3u8$订阅源
