CGTN SD,rtp://225.1.1.27:5002
CGTN纪录 SD,rtp://225.1.1.55:5002
上海东方卫视,rtp://225.1.2.31:5002
陕西卫视 SD,rtp://225.1.1.41:5002
卡酷少儿 SD,rtp://225.1.1.58:5002
金鹰卡通,rtp://225.1.2.236:5002
北京纪实科教,rtp://225.1.2.30:5002
山东教育卫视,rtp://225.1.1.152:5002
中国天气,rtp://225.1.2.120:5002
女性时尚,rtp://225.1.2.172:5002
卫生健康,rtp://225.1.2.165:5002
早期教育,rtp://225.1.2.207:5002
法治天地,rtp://225.1.1.237:5002
金色学堂,rtp://225.1.1.236:5002
四海钓鱼,rtp://225.1.2.117:5002
动漫秀场,rtp://225.1.1.134:5002
游戏风云,rtp://225.1.1.135:5002
生活时尚,rtp://225.1.1.143:5002
乐游,rtp://225.1.1.145:5002
梨园频道,rtp://225.1.2.104:5002
文物宝库,rtp://225.1.2.105:5002
武术世界,rtp://225.1.2.129:5002
快乐垂钓,rtp://225.1.2.18:5002
茶频道,rtp://225.1.2.19:5002
IPTV5+,rtp://225.1.1.106:5002
羽球精品赛事,rtp://225.1.2.1:5002
老故事 SD,rtp://225.1.1.188:5002
中学生 SD,rtp://225.1.1.193:5002
发现之旅 SD,rtp://225.1.1.183:5002
汽摩 SD,rtp://225.1.1.205:5002
环球奇观 SD,rtp://225.1.1.197:5002
生态环境 SD,rtp://225.1.2.201:5002
优优宝贝 SD,rtp://225.1.2.203:5002
书画 SD,rtp://225.1.2.22:5002
IPTV3+ SD,rtp://225.1.1.201:5002
足球 SD,rtp://225.1.1.105:5002
广东卫视4K,rtp://225.1.2.100:5002
深圳卫视4K,rtp://225.1.2.101:5002
山东卫视4K,rtp://225.1.2.106:5002
江苏卫视4K,rtp://225.1.2.107:5002
上海东方卫视4K,rtp://225.1.2.108:5002
浙江卫视4K,rtp://225.1.2.109:5002
